indicador,iso,obs_reais,obs_2002_2024,primeiro,ultimo
PIB per capita PPC (const 2021 int$),BRA,24,23,2002.0,2025.0
PIB per capita PPC (const 2021 int$),ARG,24,23,2002.0,2025.0
PIB per capita PPC (const 2021 int$),CHL,24,23,2002.0,2025.0
PIB per capita PPC (const 2021 int$),CHN,24,23,2002.0,2025.0
PIB per capita PPC (const 2021 int$),COL,24,23,2002.0,2025.0
PIB per capita PPC (const 2021 int$),ECU,24,23,2002.0,2025.0
PIB per capita PPC (const 2021 int$),IDN,24,23,2002.0,2025.0
PIB per capita PPC (const 2021 int$),IND,24,23,2002.0,2025.0
PIB per capita PPC (const 2021 int$),MEX,24,23,2002.0,2025.0
PIB per capita PPC (const 2021 int$),PER,24,23,2002.0,2025.0
PIB per capita PPC (const 2021 int$),TUR,24,23,2002.0,2025.0
PIB per capita PPC (const 2021 int$),ZAF,24,23,2002.0,2025.0
PIB per capita PPC (const 2021 int$),UMC,0,0,,
Produtividade (PIB por ocupado),BRA,24,23,2002.0,2025.0
Produtividade (PIB por ocupado),ARG,24,23,2002.0,2025.0
Produtividade (PIB por ocupado),CHL,24,23,2002.0,2025.0
Produtividade (PIB por ocupado),CHN,24,23,2002.0,2025.0
Produtividade (PIB por ocupado),COL,24,23,2002.0,2025.0
Produtividade (PIB por ocupado),ECU,24,23,2002.0,2025.0
Produtividade (PIB por ocupado),IDN,24,23,2002.0,2025.0
Produtividade (PIB por ocupado),IND,24,23,2002.0,2025.0
Produtividade (PIB por ocupado),MEX,24,23,2002.0,2025.0
Produtividade (PIB por ocupado),PER,24,23,2002.0,2025.0
Produtividade (PIB por ocupado),TUR,24,23,2002.0,2025.0
Produtividade (PIB por ocupado),ZAF,24,23,2002.0,2025.0
Produtividade (PIB por ocupado),UMC,0,0,,
"Pobreza extrema US$3,00 PPC 2021 (%)",BRA,22,22,2002.0,2024.0
"Pobreza extrema US$3,00 PPC 2021 (%)",ARG,22,22,2002.0,2024.0
"Pobreza extrema US$3,00 PPC 2021 (%)",CHL,10,10,2003.0,2024.0
"Pobreza extrema US$3,00 PPC 2021 (%)",CHN,16,16,2002.0,2022.0
"Pobreza extrema US$3,00 PPC 2021 (%)",COL,21,21,2002.0,2024.0
"Pobreza extrema US$3,00 PPC 2021 (%)",ECU,23,22,2003.0,2025.0
"Pobreza extrema US$3,00 PPC 2021 (%)",IDN,24,23,2002.0,2025.0
"Pobreza extrema US$3,00 PPC 2021 (%)",IND,4,4,2004.0,2022.0
