indicador,regime,janela,anos_brasil,delta_brasil,rel_brasil,n_America Latina,delta_America Latina,rel_America Latina,dif_America Latina,n_G20 emergentes,delta_G20 emergentes,rel_G20 emergentes,dif_G20 emergentes,n_G20 emerg. sem China,delta_G20 emerg. sem China,rel_G20 emerg. sem China,dif_G20 emerg. sem China,n_Exportadores commodities,delta_Exportadores commodities,rel_Exportadores commodities,dif_Exportadores commodities
PIB per capita PPC (const 2021 int$),Boom de commodities,2003-2011,2002-2012,4566.31,32.0,6,4908.71,43.0,-342.39,6,3096.43,53.2,1469.89,5,2866.2,52.1,1700.12,5,4354.33,46.2,211.98
PIB per capita PPC (const 2021 int$),Desaceleração,2012-2014,2011-2015,-270.74,-1.5,6,1624.22,10.6,-1894.96,6,1410.85,18.4,-1681.59,5,1203.0,17.5,-1473.74,5,1815.95,13.3,-2086.69
PIB per capita PPC (const 2021 int$),Recessão e ajuste,2015-2018,2014-2019,-1164.55,-6.1,6,675.42,2.8,-1839.97,6,2025.23,18.5,-3189.79,5,1797.07,15.5,-2961.62,5,856.41,5.2,-2020.96
PIB per capita PPC (const 2021 int$),Pandemia,2019-2021,2018-2022,636.3,3.6,6,320.13,1.4,316.17,6,963.4,10.1,-327.1,5,854.76,8.7,-218.46,5,1061.04,3.7,-424.75
PIB per capita PPC (const 2021 int$),Recuperação,2022-2025,2021-2025,1948.99,10.8,6,1262.45,5.9,686.54,6,2277.17,17.2,-328.18,5,2220.41,16.2,-271.42,5,1395.56,6.0,553.43
Produtividade (PIB por ocupado),Boom de commodities,2003-2011,2002-2012,7896.26,23.6,6,6761.76,24.2,1134.5,6,9321.02,41.8,-1424.76,5,6649.01,40.5,1247.25,5,6757.3,30.1,1138.96
Produtividade (PIB por ocupado),Desaceleração,2012-2014,2011-2015,-763.98,-1.9,6,1830.84,4.2,-2594.82,6,3294.77,15.1,-4058.75,5,3242.27,14.2,-4006.25,5,3242.27,8.4,-4006.25
Produtividade (PIB por ocupado),Recessão e ajuste,2015-2018,2014-2019,-1674.99,-4.0,6,-573.77,-1.1,-1101.22,6,4092.52,14.7,-5767.51,5,3681.86,13.1,-5356.85,5,1454.99,5.5,-3129.98
Produtividade (PIB por ocupado),Pandemia,2019-2021,2018-2022,35.1,0.1,6,427.36,1.5,-392.26,6,2076.37,5.9,-2041.27,5,1846.58,4.6,-1811.48,5,2306.16,7.2,-2271.05
Produtividade (PIB por ocupado),Recuperação,2022-2025,2021-2025,-64.82,-0.2,6,13.41,0.1,-78.23,6,3270.49,7.8,-3335.31,5,3233.51,3.6,-3298.34,5,492.02,1.2,-556.84
"Pobreza extrema US$3,00 PPC 2021 (%)",Boom de commodities,2003-2011,2002-2012,-9.8,-60.5,6,-11.7,-68.0,1.9,4,-13.05,-58.1,3.25,3,-5.9,-43.2,-3.9,4,-11.7,-52.1,1.9
"Pobreza extrema US$3,00 PPC 2021 (%)",Desaceleração,2012-2014,2011-2015,-1.7,-23.9,6,-1.35,-23.7,-0.35,4,-5.82,-32.9,4.12,3,-2.05,-30.8,0.35,4,-1.7,-26.5,0.0
"Pobreza extrema US$3,00 PPC 2021 (%)",Recessão e ajuste,2015-2018,2014-2019,2.2,45.8,6,0.48,9.3,1.72,4,-3.85,-50.3,6.05,3,-3.1,-43.1,5.3,4,-1.1,-14.4,3.3
"Pobreza extrema US$3,00 PPC 2021 (%)",Pandemia,2019-2021,2018-2022,-2.0,-29.0,6,-0.4,-20.0,-1.6,4,-1.15,-45.5,-0.85,3,-1.6,-41.0,-0.4,4,-0.9,-27.3,-1.1
"Pobreza extrema US$3,00 PPC 2021 (%)",Recuperação,2022-2025,2021-2024,-4.5,-60.0,6,-1.22,-32.2,-3.28,3,-1.7,-53.5,-2.8,3,-1.7,-53.5,-2.8,4,-1.72,-38.8,-2.78
"Pobreza US$4,20 PPC 2021 (%)",Boom de commodities,2003-2011,2002-2012,-14.8,-58.0,6,-16.6,-62.6,1.8,4,-17.95,-47.3,3.15,3,-12.7,-34.1,-2.1,4,-16.6,-46.9,1.8
"Pobreza US$4,20 PPC 2021 (%)",Desaceleração,2012-2014,2011-2015,-2.8,-23.0,6,-2.6,-19.9,-0.2,4,-6.6,-23.6,3.8,3,-3.0,-19.0,0.2,4,-3.1,-20.0,0.3
"Pobreza US$4,20 PPC 2021 (%)",Recessão e ajuste,2015-2018,2014-2019,2.2,25.3,6,0.22,8.2,1.98,4,-8.22,-39.4,10.42,3,-5.75,-38.1,7.95,4,-1.8,-12.6,4.0
"Pobreza US$4,20 PPC 2021 (%)",Pandemia,2019-2021,2018-2022,-2.6,-23.4,6,-0.83,-9.3,-1.77,4,-4.2,-45.6,1.6,3,-3.4,-37.4,0.8,4,-1.15,-15.6,-1.45
"Pobreza US$4,20 PPC 2021 (%)",Recuperação,2022-2025,2021-2024,-5.3,-46.1,6,-1.78,-21.2,-3.52,3,-3.55,-46.4,-1.75,3,-3.55,-46.4,-1.75,4,-2.42,-26.2,-2.88
Indice de Gini,Boom de commodities,2003-2011,2002-2012,-4.7,-8.1,6,-6.71,-12.5,2.01,4,-0.4,-0.8,-4.3,3,-1.0,-2.0,-3.7,4,-3.74,-7.0,-0.96
Indice de Gini,Desaceleração,2012-2014,2011-2015,-1.0,-1.9,6,-1.03,-2.0,0.03,4,-0.23,-0.4,-0.77,3,0.3,0.8,-1.3,4,-1.3,-2.7,0.3
Indice de Gini,Recessão e ajuste,2015-2018,2014-2019,1.4,2.7,6,-0.36,-0.6,1.76,4,-2.2,-5.0,3.6,3,-3.4,-7.4,4.8,4,-1.35,-2.9,2.75
Indice de Gini,Pandemia,2019-2021,2018-2022,-2.0,-3.7,6,-1.55,-3.7,-0.45,4,-1.65,-3.8,-0.35,3,-0.8,-2.2,-1.2,4,-1.45,-3.6,-0.55
Indice de Gini,Recuperação,2022-2025,2021-2024,-2.6,-4.9,6,-0.35,-0.6,-2.25,3,-1.1,-3.1,-1.5,3,-1.1,-3.1,-1.5,4,-0.9,-2.2,-1.7
Participacao de renda - 40% mais pobres,Boom de commodities,2003-2011,2002-2012,2.1,24.1,6,2.74,24.9,-0.64,4,0.05,0.3,2.05,3,0.4,2.5,1.7,4,1.49,13.0,0.61
Participacao de renda - 40% mais pobres,Desaceleração,2012-2014,2011-2015,0.5,4.6,6,0.42,3.2,0.08,4,0.27,2.1,0.23,3,0.0,0.0,0.5,4,0.4,2.9,0.1
Participacao de renda - 40% mais pobres,Recessão e ajuste,2015-2018,2014-2019,-0.8,-7.1,6,-0.03,0.2,-0.77,4,0.9,5.2,-1.7,3,1.1,6.1,-1.9,4,0.6,4.5,-1.4
Participacao de renda - 40% mais pobres,Pandemia,2019-2021,2018-2022,0.9,8.7,6,0.8,5.5,0.1,4,0.85,5.2,0.05,3,0.8,4.3,0.1,4,0.92,5.7,-0.02
Participacao de renda - 40% mais pobres,Recuperação,2022-2025,2021-2024,1.1,10.1,6,0.15,1.4,0.95,3,0.5,3.4,0.6,3,0.5,3.4,0.6,4,0.53,3.6,0.58
Participacao de renda - 10% mais ricos,Boom de commodities,2003-2011,2002-2012,-3.7,-8.0,6,-6.2,-14.5,2.5,4,-0.1,-0.2,-3.6,3,-0.3,-0.8,-3.4,4,-3.65,-8.4,-0.05
Participacao de renda - 10% mais ricos,Desaceleração,2012-2014,2011-2015,-0.8,-1.9,6,-0.75,-2.3,-0.05,4,0.32,1.0,-1.13,3,0.6,1.9,-1.4,4,-1.05,-2.9,0.25
Participacao de renda - 10% mais ricos,Recessão e ajuste,2015-2018,2014-2019,0.8,1.9,6,-0.67,-1.8,1.47,4,-1.92,-5.0,2.72,3,-3.65,-9.2,4.45,4,-1.05,-2.9,1.85
Participacao de renda - 10% mais ricos,Pandemia,2019-2021,2018-2022,-1.7,-4.0,6,-0.6,-1.9,-1.1,4,-0.25,-0.8,-1.45,3,0.5,1.8,-2.2,4,-0.2,-0.5,-1.5
Participacao de renda - 10% mais ricos,Recuperação,2022-2025,2021-2024,-2.2,-5.3,6,-0.6,-1.5,-1.6,3,-0.3,-0.9,-1.9,3,-0.3,-0.9,-1.9,4,-0.6,-1.5,-1.6
Mortalidade infantil (por mil nasc.),Boom de commodities,2003-2011,2002-2012,-10.8,-42.2,6,-5.45,-26.9,-5.35,6,-13.95,-33.3,3.15,5,-13.6,-32.4,2.8,5,-10.7,-30.0,-0.1
Mortalidade infantil (por mil nasc.),Desaceleração,2012-2014,2011-2015,-1.6,-10.5,6,-1.85,-12.1,0.25,6,-3.6,-16.7,2.0,5,-4.0,-15.4,2.4,5,-2.0,-12.7,0.4
Mortalidade infantil (por mil nasc.),Recessão e ajuste,2015-2018,2014-2019,-1.1,-7.9,6,-1.7,-12.9,0.6,6,-3.65,-18.7,2.55,5,-4.4,-18.3,3.3,5,-2.0,-14.0,0.9
Mortalidade infantil (por mil nasc.),Pandemia,2019-2021,2018-2022,-0.5,-3.8,6,-0.95,-8.1,0.45,6,-1.55,-14.0,1.05,5,-1.5,-12.4,1.0,5,-1.5,-9.4,1.0
Mortalidade infantil (por mil nasc.),Recuperação,2022-2025,2021-2024,-0.4,-3.1,6,-0.7,-6.7,0.3,6,-1.0,-9.8,0.6,5,-1.0,-9.1,0.6,5,-0.9,-7.6,0.5
Saneamento basico (% pop.),Boom de commodities,2003-2011,2002-2012,8.22,11.0,6,6.35,8.7,1.88,6,13.62,22.6,-5.39,5,7.48,12.1,0.74,5,7.48,11.5,0.74
Saneamento basico (% pop.),Desaceleração,2012-2014,2011-2015,3.18,3.9,6,2.29,2.9,0.89,6,4.93,6.6,-1.75,5,2.79,4.1,0.39,5,2.79,4.1,0.39
Saneamento basico (% pop.),Recessão e ajuste,2015-2018,2014-2019,3.89,4.6,6,2.76,3.4,1.13,6,5.81,7.3,-1.92,5,3.33,4.7,0.56,5,3.33,4.7,0.56
Saneamento basico (% pop.),Pandemia,2019-2021,2018-2022,2.99,3.4,5,2.14,2.8,0.85,6,4.37,5.2,-1.37,5,2.54,3.4,0.45,5,2.54,3.4,0.45
Saneamento basico (% pop.),Recuperação,2022-2025,2021-2024,2.08,2.3,5,1.56,2.0,0.52,6,2.36,2.7,-0.28,5,1.84,2.4,0.25,5,1.84,2.4,0.25
Homicidios (por 100 mil hab.),Boom de commodities,2003-2011,2002-2012,0.79,2.8,5,-2.16,-22.6,2.96,6,-0.4,-21.9,1.19,5,-0.34,-10.9,1.14,4,-7.73,-37.3,8.52
Homicidios (por 100 mil hab.),Desaceleração,2012-2014,2011-2015,2.1,7.9,6,-3.9,-25.5,6.01,6,-0.33,-19.8,2.43,5,-0.44,-14.2,2.54,5,-0.07,-14.2,2.17
Homicidios (por 100 mil hab.),Recessão e ajuste,2015-2018,2014-2019,-8.61,-28.8,6,-0.43,-4.8,-8.18,6,-0.15,-19.1,-8.46,5,-0.09,-18.3,-8.52,5,0.46,6.6,-9.07
Homicidios (por 100 mil hab.),Pandemia,2019-2021,2018-2022,-7.08,-26.1,6,1.02,8.3,-8.1,6,-0.05,-6.2,-7.03,5,-0.07,-7.1,-7.01,5,1.13,11.9,-8.21
Homicidios (por 100 mil hab.),Recuperação,2022-2025,2021-2023,-1.23,-6.0,5,-0.13,-2.6,-1.1,2,,,,2,,,,2,,,
"Desemprego (%, est. OIT)",Boom de commodities,2003-2011,2002-2012,-3.39,-31.9,6,-2.49,-33.0,-0.9,6,0.15,3.8,-3.54,5,-0.04,-0.5,-3.35,5,-2.14,-32.3,-1.25
"Desemprego (%, est. OIT)",Desaceleração,2012-2014,2011-2015,0.96,12.7,6,-0.53,-8.9,1.49,6,0.06,1.2,0.9,5,0.02,0.3,0.94,5,-0.64,-11.8,1.6
"Desemprego (%, est. OIT)",Recessão e ajuste,2015-2018,2014-2019,5.18,76.7,6,0.53,10.2,4.65,6,-0.26,-6.4,5.45,5,-0.46,-11.3,5.64,5,0.73,10.8,4.45
"Desemprego (%, est. OIT)",Pandemia,2019-2021,2018-2022,-3.1,-25.1,6,0.4,6.7,-3.5,6,-0.25,-2.5,-2.84,5,-0.49,-4.5,-2.61,5,0.8,12.6,-3.9
"Desemprego (%, est. OIT)",Recuperação,2022-2025,2021-2025,-7.19,-54.6,6,-1.27,-22.4,-5.92,6,-1.48,-22.1,-5.71,5,-1.62,-28.8,-5.57,5,-0.59,-4.8,-6.6
Emprego vulneravel (%),Boom de commodities,2003-2011,2002-2012,-4.74,-15.8,6,-2.37,-8.9,-2.36,6,-5.77,-12.5,1.03,5,-3.95,-8.9,-0.79,5,-2.41,-9.7,-2.33
