checkpoint,date,iso,dollar_price,val_pct
2002,2002-04-01,BRA,1.53846153846154,-34.53
2002,2002-04-01,MEX,2.35991379310345,0.42
2002,2002-04-01,CHL,2.13740458015267,-9.05
2002,2002-04-01,PER,2.47813411078717,5.45
2002,2002-04-01,ARG,0.798722044728435,-66.01
2002,2002-04-01,IDN,1.69671261930011,-27.80
2002,2002-04-01,ZAF,0.889908256880734,-62.13
2002,2002-04-01,TUR,3.02000755001888,28.51
2002,2004-05-01,COL,2.34671441929649,-4.99
2012,2012-07-01,BRA,4.93597434076831,24.65
2012,2012-07-01,MEX,2.671755725190839,-29.61
2012,2012-01-01,COL,4.53526982155873,19.04
2012,2012-01-01,CHL,4.05098310443632,6.33
2012,2012-01-01,PER,3.71402042711235,-2.52
2012,2012-07-01,ARG,4.16096359156857,5.08
2012,2012-01-01,IND,1.61834120026972,-57.52
2012,2012-01-01,IDN,2.46004366812227,-35.43
2012,2012-01-01,ZAF,2.45375381285054,-35.60
2012,2012-01-01,TUR,3.54276819023592,-7.01
2018,2018-07-01,BRA,4.4029,-20.10
2018,2018-07-01,MEX,2.5720,-53.30
2018,2018-07-01,COL,4.1405,-24.90
2018,2018-07-01,CHL,4.0508,-26.50
2018,2018-07-01,PER,3.2095,-41.80
2018,2018-07-01,ARG,2.7051,-50.90
2018,2018-07-01,IND,2.5136,-54.40
2018,2018-07-01,IDN,2.1936,-60.20
2018,2018-07-01,ZAF,2.3200,-57.90
2018,2018-07-01,TUR,2.2842,-58.50
2020,2020-07-01,BRA,3.9135,-31.46
2020,2020-07-01,MEX,2.2286,-60.97
2020,2020-07-01,COL,3.2900,-42.38
2020,2020-07-01,CHL,3.4785,-39.08
2020,2020-07-01,PER,3.4026,-40.41
2020,2020-07-01,ARG,3.5092,-38.54
2020,2020-07-01,IND,2.5267,-55.75
2020,2020-07-01,IDN,2.3554,-58.75
2020,2020-07-01,ZAF,1.8593,-67.44
2020,2020-07-01,TUR,2.0395,-64.28
2022,2022-07-01,BRA,4.2472,-17.53
2022,2022-07-01,MEX,3.4293,-33.41
2022,2022-07-01,COL,3.4807,-32.41
2022,2022-07-01,CHL,3.6621,-28.89
2022,2022-07-01,PER,3.5706,-30.67
2022,2022-07-01,ARG,4.5696,-11.27
2022,2022-07-01,IND,2.3890,-53.61
2022,2022-07-01,IDN,2.3368,-54.62
2022,2022-07-01,ZAF,2.3421,-54.52
2022,2022-07-01,TUR,2.6758,-48.04
2025,2025-01-01,BRA,4.0258,-30.47
2025,2025-01-01,MEX,4.6012,-20.53
2025,2025-01-01,COL,5.1746,-10.63
2025,2025-01-01,CHL,4.5480,-21.45
2025,2025-01-01,PER,4.5292,-21.78
2025,2025-01-01,ARG,6.9524,20.08
2025,2025-01-01,IND,2.6175,-54.79
2025,2025-01-01,IDN,2.5352,-56.22
2025,2025-01-01,ZAF,2.7767,-52.04
2025,2025-01-01,TUR,5.3161,-8.18
