indicador,indicador_nome,iso,pais,ano,valor
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2025,27846.5984597239
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2024,26771.9657650571
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2023,27230.3968496682
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2022,27825.0273492567
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2021,26300.274261175
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2020,23877.0931404855
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2019,26629.5529419501
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2018,27367.115094108
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2017,28334.904184742
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2016,27802.1057201498
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2015,28669.2061336796
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2014,28200.8152571318
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2013,29227.6601818437
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2012,28825.9666865361
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2011,29425.7593876084
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2010,28056.2570212342
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2009,25747.1976809995
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2008,27658.4853446831
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2007,26850.6645932771
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2006,24877.2493922296
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2005,23262.4075792816
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2004,21591.449396517
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2003,20005.1385113465
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2002,18571.7020471274
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2001,21066.4581290433
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,2000,22281.3814299958
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,1999,22714.5111302701
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,1998,23783.1017185449
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,1997,23172.1583398342
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,1996,21695.5949515372
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),ARG,Argentina,1995,20819.4999479903
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),BRA,Brasil,2025,20024.6968256903
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),BRA,Brasil,2024,19652.365499171
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),BRA,Brasil,2023,19079.8122134028
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),BRA,Brasil,2022,18554.0461828566
NY.GDP.PCAP.PP.KD,PIB per capita PPC (const 2021 int$),BRA,Brasil,2021,18075.7060049068
